Iteration,Penalty
0,903
1000,347
2000,306
3000,283
4000,274
5000,274
6000,274
7000,274
8000,274
9000,274
10000,274
11000,274
12000,274
13000,274
14000,274
15000,274
16000,274
17000,274
18000,274
19000,274
20000,274
21000,274
22000,274
23000,274
24000,274
25000,274
26000,274
27000,257
28000,257
29000,257
30000,257
31000,257
32000,257
33000,257
34000,257
35000,251
36000,244
37000,233
38000,228
39000,222
40000,204
41000,204
42000,204
43000,204
44000,204
45000,172
46000,163
47000,151
48000,135
49000,135
50000,128
51000,108
52000,84
53000,84
54000,76
55000,66
56000,44
57000,37
58000,33
59000,29
60000,27
61000,18
62000,18
63000,16
64000,15
65000,15
66000,14
67000,14
68000,10
69000,6
70000,6
71000,6
72000,6
73000,6
74000,6
75000,5
76000,5
77000,5
78000,5
79000,5
80000,4
81000,4
82000,4
83000,4
84000,4
85000,4
86000,3
87000,3
88000,3
89000,3
90000,3
91000,3
92000,3
93000,3
94000,3
95000,3
96000,3
97000,3
98000,3
99000,3
100000,3
101000,3
102000,3
103000,3
104000,3
105000,3
106000,3
107000,3
108000,3
109000,3
110000,2
111000,2
112000,2
113000,2
114000,1
115000,1
116000,1
117000,1
118000,1
119000,1
120000,1
121000,1
122000,1
123000,1
124000,1
125000,1
126000,1
127000,1
128000,1
129000,1
130000,1
131000,1
132000,1
133000,1
134000,1
135000,1
136000,1
137000,1
138000,1
139000,1
140000,1
141000,1
142000,1
143000,1
144000,1
145000,1
146000,1
147000,1
148000,1
149000,1
150000,1
151000,1
152000,1
153000,1
154000,1
155000,1
156000,1
157000,1
158000,1
159000,1
160000,1
161000,1
162000,1
163000,1
164000,1
165000,1
166000,1
167000,1
168000,1
169000,1
170000,1
171000,1
172000,1
173000,1
174000,1
175000,1
176000,1
177000,1
178000,1
179000,1
180000,1
181000,1
182000,1
183000,1
184000,1
185000,1
186000,1
187000,1
188000,1
189000,1
190000,1
191000,1
192000,1
193000,1
194000,1
195000,1
196000,1
197000,1
198000,1
199000,1
200000,1
201000,1
202000,1
203000,1
204000,1
205000,1
206000,1
207000,1
208000,1
209000,1
210000,1
211000,1
212000,1
213000,1
214000,1
215000,1
216000,1
217000,1
218000,1
219000,1
220000,1
221000,1
222000,1
223000,1
224000,1
225000,1
226000,1
227000,1
228000,1
500000,0
